Week,Day of Week,Date,Take Home,Tips,Mileage,Miles,Hours
26,Tuesday,6/27/2017,,21,,26,6
26,Wednesday,6/28/2017,,25.05,,33,4
26,Thursday,6/29/2017,,45,,48,5.5
26,Friday,6/30/2017,,58.75,,51,5.5
26,Sunday,7/2/2017,,55.5,,46,8
27,Monday,7/3/2017,,61,,66,6
27,Tuesday,7/4/2017,,48.4,,58,6
27,Thursday,7/6/2017,,51.25,,58,5
27,Friday,7/7/2017,,42,,4,5.5
27,Saturday,7/8/2017,,67.3,,66,7
27,Sunday,7/9/2017,,33.22,,29,5
28,Monday,7/10/2017,,35.74,,39,5.5
28,Tuesday,7/11/2017,,76,,60,6
28,Thursday,7/13/2017,,51.53,,35,5
28,Friday,7/14/2017,,47.97,,54,5
28,Saturday,7/15/2017,,58.4,,71,7
28,Sunday,7/16/2017,,53.45,,37,5
29,Monday,7/17/2017,,36,,44,5.5
29,Tuesday,7/18/2017,,79.87,,62,6.5
29,Thursday,7/20/2017,,52.06,,37,6
29,Friday,7/21/2017,,53.51,,52,6.5
29,Saturday,7/22/2017,,76,,87,6.5
29,Sunday,7/23/2017,,60.7,,71,6
30,Monday,7/24/2017,,32.25,,14,3.5
30,Tuesday,7/25/2017,,64.4,,57,6
30,Thursday,7/27/2017,,54.25,,39,6
30,Friday,7/28/2017,,68.25,,78,6.5
30,Saturday,7/29/2017,,70.37,,57,7
30,Sunday,7/30/2017,,51,,47,5
31,Monday,7/31/2017,61,49.56,11.44,52,6
31,Tuesday,8/1/2017,53.4,43.5,9.9,45,5
31,Thursday,8/3/2017,32.15,21.15,11,50,6
31,Friday,8/4/2017,93.5,77,16.5,75,8
33,Monday,8/14/2017,47.35,39.43,7.92,36,5
33,Tuesday,8/15/2017,35.01,27.53,7.48,34,5
33,Thursday,8/17/2017,83,66.94,16.06,73,7
33,Friday,8/18/2017,74.91,56.87,18.04,82,7.5
33,Saturday,8/19/2017,60.5,49.28,11.22,51,5.5
33,Sunday,8/20/2017,60.51,51.93,8.58,39,5
34,Monday,8/21/2017,53.1,42.76,10.34,47,5
34,Tuesday,8/22/2017,41.4,31.94,9.46,43,5
34,Friday,8/25/2017,90,72.4,17.6,80,8
34,Saturday,8/26/2017,42.63,33.61,9.02,41,5.5
34,Sunday,8/27/2017,41,33.74,7.26,33,5
35,Monday,8/28/2017,95,82.9,12.1,55,6.5
35,Thursday,8/31/2017,120.5,100.7,19.8,90,8
35,Friday,9/1/2017,88.25,70.43,17.82,81,7
35,Saturday,9/2/2017,96,79.5,16.5,75,6.5
35,Sunday,9/3/2017,59,44.7,14.3,65,6
36,Monday,9/4/2017,65,51.14,13.86,63,6.5
36,Tuesday,9/5/2017,40,33.4,6.6,30,4
36,Thursday,9/7/2017,52,41.66,10.34,47,6
36,Friday,9/8/2017,70,55.92,14.08,64,8
36,Sunday,9/10/2017,94.87,79.03,15.84,72,6
37,Monday,9/11/2017,64.76,50.02,14.74,67,6
37,Thursday,9/14/2017,60.55,49.11,11.44,52,6
37,Friday,9/15/2017,93,76.28,16.72,76,7
37,Saturday,9/16/2017,82,67.26,14.74,67,7
37,Sunday,9/17/2017,77.35,60.41,16.94,77,6
38,Monday,9/18/2017,69.01,52.51,16.5,75,6
38,Thursday,9/21/2017,61.3,48.32,12.98,59,7
38,Saturday,9/23/2017,70.8,54.74,16.06,73,7.5
38,Sunday,9/24/2017,81.07,64.79,16.28,74,6.5
39,Monday,9/25/2017,62.29,48.21,14.08,64,5.5
39,Thursday,9/28/2017,65.61,51.75,13.86,63,6
39,Friday,9/29/2017,95,75.41,19.59,89,6
39,Saturday,9/30/2017,128.86,109.27,19.59,89,8
39,Sunday,10/1/2017,80.67,66.59,14.08,64,6
40,Monday,10/2/2017,56.35,47.99,8.36,38,5.5
40,Thursday,10/5/2017,53.16,45.24,7.92,36,5
40,Friday,10/6/2017,67.42,51.8,15.62,71,6
40,Saturday,10/7/2017,39,29.1,9.9,45,7
41,Monday,10/9/2017,54,42.35,11.65,53,6
41,Friday,10/13/2017,73.3,59,14.3,65,6
41,Saturday,10/14/2017,51.17,34.23,16.94,77,5
42,Thursday,10/19/2017,52.87,43.41,9.46,43,4
42,Friday,10/20/2017,44,35.2,8.8,40,5
42,Saturday,10/21/2017,65.55,52.76,12.79,58,5.5
42,Sunday,10/22/2017,67.36,54.16,13.2,60,5.5
43,Thursday,10/26/2017,47.14,37.24,9.9,45,5
43,Friday,10/27/2017,68.65,54.57,14.08,64,6.5
43,Saturday,10/28/2017,66.76,50.35,16.41,73,5.5
43,Sunday,10/29/2017,22.8,15.76,7.04,32,4
44,Thursday,11/2/2017,52.25,43.45,8.8,40,5.5
44,Friday,11/3/2017,42.2,32.3,9.9,45,6
44,Saturday,11/4/2017,75.8,59.74,16.06,73,5.5
44,Sunday,11/5/2017,43.3,35.6,7.7,35,3.5
45,Thursday,11/9/2017,45.1,34.76,10.34,47,4
45,Friday,11/10/2017,26.77,19.07,7.7,35,4
45,Saturday,11/11/2017,65,51.14,13.86,63,5.5
46,Thursday,11/16/2017,79.35,63.07,16.28,74,5.5
46,Friday,11/17/2017,38,29.2,8.8,40,4.5
46,Saturday,11/18/2017,74.16,61.48,12.68,44,6
47,Friday,11/24/2017,26.57,19.31,7.26,33,6
47,Saturday,11/25/2017,100.38,81.47,18.91,86,7
48,Thursday,11/30/2017,65.25,53.59,11.66,53,5
48,Friday,12/1/2017,45.13,35.45,9.68,44,5
48,Saturday,12/2/2017,120,98.66,21.34,97,7
48,Sunday,12/3/2017,57.4,50.8,6.6,30,3
49,Monday,12/4/2017,22.25,19.17,3.08,14,2
49,Wednesday,12/6/2017,48.63,39.61,9.02,41,4
49,Thursday,12/7/2017,104.16,85.46,18.7,84,7
49,Friday,12/8/2017,68.46,52.84,15.62,71,6
49,Saturday,12/9/2017,140.9,118.02,22.88,103,7
49,Sunday,12/10/2017,57.5,47.38,10.12,46,4
50,Tuesday,12/12/2017,28.1,23.82,4.28,19,3
50,Wednesday,12/13/2017,80.01,63.51,16.5,75,6.5
50,Thursday,12/14/2017,60,50.1,9.9,45,6
50,Friday,12/15/2017,98,78.2,19.8,90,7
50,Saturday,12/16/2017,102.45,80.45,22,100,7.5
51,Monday,12/18/2017,32.75,25.71,7.04,32,5
51,Wednesday,12/20/2017,86.88,70.16,16.72,76,7
51,Thursday,12/21/2017,78.05,62.21,15.84,72,7
51,Friday,12/22/2017,117.6,100.88,16.72,76,7
51,Saturday,12/23/2017,112.67,89.35,23.32,106,7
52,Wednesday,12/27/2017,129.13,108.23,20.9,95,7
52,Thursday,12/28/2017,109.5,89.7,19.8,90,7
52,Friday,12/29/2017,103.3,83.06,20.24,92,6.5
52,Saturday,12/30/2017,125.82,106.02,19.8,90,8
52,Sunday,12/31/2017,177.01,149.95,27.06,123,8
1,Thursday,1/4/2018,85.51,67.69,17.82,81,7
1,Friday,1/5/2018,53,41.34,11.66,53,7
1,Saturday,1/6/2018,92,73.74,18.26,83,8
1,Sunday,1/7/2018,90.5,72.46,18.04,82,7
2,Thursday,1/10/2018,60.25,44.63,15.62,71,8
2,Friday,1/11/2018,111,96.48,14.52,66,7
2,Saturday,1/12/2018,131.54,113.28,18.26,83,7
2,Sunday,1/13/2018,118.26,96.04,22.22,101,7
3,Tuesday,1/16/2018,113.53,95.61,17.92,56,8.5
3,Wednesday,1/17/2018,145.46,125,20.46,93,9
3,Friday,1/19/2018,78,62.16,15.84,72,7
3,Saturday,1/20/2018,87.27,69.01,18.26,83,7
3,Sunday,1/21/2018,54,44.76,9.24,41,4
4,Friday,1/26/2018,115.4,99.56,15.84,72,7
4,Saturday,1/27/2018,88.6,75.62,12.98,59,6.5
4,Sunday,1/28/2018,97.68,84.26,13.42,61,6
5,Friday,2/2/2018,95,77.4,17.6,80,6.5
5,Saturday,2/3/2018,93,78.26,14.74,67,7
5,Sunday,2/4/2018,63,52,11,50,6
6,Friday,2/10/2018,127,105.88,21.12,96,8
6,Saturday,2/11/2018,118.21,99.95,18.26,83,8
6,Sunday,2/12/2018,74,60.58,13.42,61,7
8,Monday,2/19/2018,63,49.8,13.2,60,7
8,Tuesday,2/20/2018,36,31.16,4.84,22,3.5
8,Friday,2/23/2018,81.7,63.88,17.82,81,7
8,Saturday,2/24/2018,148.18,127.28,20.9,95,8.5
8,Sunday,2/25/2018,121.5,107.64,13.86,63,7
9,Monday,2/26/2018,96.01,76.87,19.14,63,7
9,Thursday,3/1/2018,78.25,63.73,14.52,66,5.5
9,Friday,3/2/2018,91.21,71.85,19.36,88,7
9,Saturday,3/3/2018,103,83.64,19.36,88,8
9,Sunday,3/4/2018,62,46.82,15.18,69,6
10,Monday,3/5/2018,115.28,95.7,19.58,89,7.5
