DATE,PRCP
1/1/2017,0.33
1/2/2017,0.03
1/3/2017,0.45
1/4/2017,0.05
1/5/2017,0
1/6/2017,0.25
1/7/2017,0.25
1/8/2017,0
1/9/2017,0
1/10/2017,0
1/11/2017,0.5
1/12/2017,0.04
1/13/2017,0.02
1/14/2017,0.04
1/15/2017,0.02
1/16/2017,0
1/17/2017,0.35
1/18/2017,0.35
1/19/2017,0.03
1/20/2017,1.36
1/21/2017,0.005
1/22/2017,0.005
1/23/2017,0.35
1/24/2017,0.01
1/25/2017,0
1/26/2017,0.02
1/27/2017,0
1/28/2017,0.02
1/29/2017,0.01
1/30/2017,0
1/31/2017,0
2/1/2017,0
2/2/2017,0.11
2/3/2017,0
2/4/2017,0
2/5/2017,0
2/6/2017,0
2/7/2017,0.13
2/8/2017,0.8
2/9/2017,0.11
2/10/2017,0.02
2/11/2017,0
2/12/2017,0
2/13/2017,0
2/14/2017,0
2/15/2017,0.46
2/16/2017,0
2/17/2017,0.15
2/18/2017,0
2/19/2017,0
2/20/2017,0
2/21/2017,0.01
2/22/2017,0.07
2/23/2017,0.03
2/24/2017,0.01
2/25/2017,0.05
2/26/2017,0
2/27/2017,0
2/28/2017,0.12
3/1/2017,0.55
3/2/2017,1.43
3/3/2017,0.01
3/4/2017,0.01
3/5/2017,0.015
3/6/2017,0.015
3/7/2017,0.2
3/8/2017,0.63
3/9/2017,0.01
3/10/2017,0.7
3/11/2017,0.01
3/12/2017,0.07
3/13/2017,0
3/14/2017,0.18
3/15/2017,0
3/16/2017,0
3/17/2017,0.01
3/18/2017,0.4
3/19/2017,0.01
3/20/2017,0
3/21/2017,0.31
3/22/2017,0.32
3/23/2017,0
3/25/2017,0
3/26/2017,0.54
3/27/2017,0
3/28/2017,0.72
3/29/2017,0
3/30/2017,0.01
3/31/2017,0.41
4/1/2017,0.01
4/2/2017,0
4/3/2017,0.2
4/4/2017,0.22
4/5/2017,0
4/6/2017,0.02
4/7/2017,0.02
4/8/2017,0
4/9/2017,0
4/10/2017,0
4/11/2017,0
4/12/2017,0
4/13/2017,0
4/14/2017,0.02
4/15/2017,0
4/16/2017,0
4/17/2017,0
4/18/2017,1.93
4/19/2017,0.29
4/20/2017,0.01
4/21/2017,0.15
4/22/2017,3
4/23/2017,0.65
4/24/2017,0.32
4/25/2017,0.02
4/26/2017,0
4/27/2017,0.26
4/28/2017,0
4/29/2017,0
4/30/2017,0
5/1/2017,0.72
5/2/2017,0.02
5/3/2017,0
5/4/2017,0.03
5/5/2017,0.67
5/6/2017,0.16
5/7/2017,0.02
5/8/2017,0
5/9/2017,0
5/10/2017,0
5/11/2017,0
5/12/2017,1.16
5/13/2017,0.25
5/14/2017,0.01
5/15/2017,0
5/16/2017,0
5/17/2017,0
5/18/2017,0
5/19/2017,0
5/20/2017,0
5/21/2017,0.71
5/22/2017,0
5/23/2017,0.01
5/24/2017,0.32
5/25/2017,0.08
5/26/2017,0
5/27/2017,0
5/28/2017,0.36
5/29/2017,0
5/30/2017,0
5/31/2017,0.24
6/1/2017,0
6/2/2017,0.175
6/3/2017,0.175
6/4/2017,0.01
6/5/2017,0.54
6/6/2017,0.31
6/7/2017,0
6/8/2017,0
6/9/2017,0
6/10/2017,0
6/11/2017,0
6/12/2017,0
6/13/2017,0
6/14/2017,0
6/15/2017,0.15
6/16/2017,0.75
6/17/2017,0
6/18/2017,0.02
6/19/2017,1.96
6/20/2017,0.01
6/21/2017,0
6/22/2017,0.44
6/23/2017,0.75
6/24/2017,0.12
6/25/2017,0
6/26/2017,0
6/27/2017,0.01
6/28/2017,0
6/29/2017,0
6/30/2017,0.4
7/1/2017,0.01
7/2/2017,0.43
7/3/2017,0
7/4/2017,0.61
7/5/2017,0
7/6/2017,0.72
7/7/2017,0.26
7/8/2017,0.01
7/9/2017,0
7/10/2017,0
7/11/2017,0
7/12/2017,0
7/13/2017,0
7/14/2017,0
7/15/2017,0.69
7/16/2017,0.01
7/17/2017,0
7/18/2017,0.01
7/19/2017,0
7/20/2017,0
7/21/2017,0
7/22/2017,0
7/23/2017,0
7/24/2017,0.75
7/25/2017,0.01
7/26/2017,0
7/27/2017,0.01
7/28/2017,0.36
7/29/2017,0.36
7/30/2017,0.01
7/31/2017,0
8/1/2017,0
8/2/2017,0
8/3/2017,0.54
8/4/2017,0.01
8/5/2017,0.54
8/6/2017,0.01
8/7/2017,0.85
8/8/2017,0.17
8/9/2017,0.17
8/10/2017,0.11
8/11/2017,0.01
8/12/2017,0
8/13/2017,0
8/14/2017,0
8/15/2017,0.23
8/16/2017,0.02
8/17/2017,0.01
8/18/2017,0.07
8/19/2017,0.07
8/20/2017,0.01
8/21/2017,0
8/22/2017,0
8/23/2017,0.3
8/24/2017,0
8/25/2017,0.01
8/26/2017,0
8/27/2017,0
8/28/2017,0
8/29/2017,0.08
8/30/2017,0
8/31/2017,1.07
9/1/2017,1.14
9/2/2017,0.7
9/3/2017,0.01
9/4/2017,0.01
9/5/2017,0
9/6/2017,0.35
9/7/2017,0.02
9/8/2017,0
9/9/2017,0
